country_name_short,cabinet_name,share_seats,weighted_lr,weighted_sm,weighted_la,ICU,debt_share_on_gdp,stringency,incidence_c,waves
MLT,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51,53.3217204301075,0.301076344086022,2
MLT,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51,53.084958677686,0.177208984375,3
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57,66.4789887640449,1.37404719101124,1
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57,47.7447247706422,1.4385002293578,2
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57,50.5191034482759,1.72711920529801,3
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126,76.9953608247423,0.0105077319587629,1
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126,46.0229452054795,0.134959931506849,2
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126,59.8914772727273,0.137808994708995,3
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37,71.0655238095238,1.85022238095238,1
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37,61.5249038461539,1.19817283653846,2
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37,72.2583739837399,1.74449090909091,3
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51,72.8380405405405,0.560555405405405,1
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51,61.9598507462687,1.42619440298507,2
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51,75.1912307692308,2.37081615384615,3
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74,81.6240277777778,0.510109722222222,1
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74,56.6453389830509,2.07057563559322,2
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74,62.4010784313726,2.63295310077519,3
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98,72.235375,0.003203125,1
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98,48.0567592592593,0.0561361111111111,2
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98,68.0549444444445,0.503823831775701,3
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41,64.8916,0.352579,1
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41,67.9767281105991,3.13324838709677,2
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41,57.0972448979592,2.52441619047619,3
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88,59.0737426900585,1.31061198830409,1
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88,61.2436363636364,0.960685714285714,2
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88,65.7124113475177,1.38045939597315,3
