month,year,iso_code,string_mean,incidence_mean,cabinet_name,share_seats,weighted_lr,weighted_sm,weighted_la,ICU,debt_share_on_gdp
04,20,DEU,76.85,1.66390833333333,Merkel V,56.2764456981664,5.25131353383459,5.38904436090226,5.80048646616541,62.1,64
04,20,DNK,70.2466666666667,0.104161666666667,Frederiksen,26.8156424581006,3.8011,3.5292,4.2722,24.6,35
04,20,ESP,85.19,0.573166666666667,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98
04,20,EST,77.4093333333333,0.512615,Ratas II,56.4356435643564,5.12032280701754,5.01419122807018,5.87941052631579,36.7,9
04,20,FRA,87.96,4.84827,Philippe II,80.5892547660312,6.35802516129032,6.61301462365591,4.63930086021505,42.8,97
04,20,GBR,79.63,2.60485833333333,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88
04,20,GRC,84.26,0.0145583333333333,Mitsotakis Kyr,52.6666666666667,6.7365,6.9754,6.6712,34.6,182
04,20,HRV,95.4346666666667,0.0255816666666667,Plenkovic II,46.3576158940397,6.42860285714286,5.81457,6.26439142857143,39.9,78
04,20,HUN,76.85,0.0510683333333333,Orban IV,66.8341708542714,6.64627368421053,3.77536315789474,7.62404135338346,42.9,74
04,20,IRL,89.815,1.74942833333333,Varadkar II,21.875,6.4372,6.1603,5.787,24,69
04,20,ITA,92.5943333333333,2.88895833333333,Conte II,56.031746031746,3.45557847025496,3.57405099150142,3.35569858356941,27.5,132
04,20,LTU,81.728,0.017135,Skvernelis III,58.1560283687943,3.52919268292683,3.81823414634146,5.78376097560976,63.4,40
04,20,LUX,76.2346666666667,2.48946166666667,Bettel II,51.6666666666667,4.3336064516129,4.58402903225807,1.72328709677419,41.1,23
04,20,MLT,86.6693333333333,0.0151,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51
04,20,NLD,78.7,3.82669333333333,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57
04,20,PRT,83.335,1.20577166666667,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126
04,20,ROU,87.04,0.582806666666667,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37
04,20,SVK,77.408,0.00701666666666667,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51
04,20,SVN,88.083,0.75038,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74
04,20,SWE,64.81,2.76603333333333,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41
05,20,BEL,76.5522580645161,1.90743387096774,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,56.5,103
05,20,BGR,61.2309677419355,0.281574193548387,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,59.5,24
